,Category,Quote,Tags
439,humor,"I connect to humor really deeply, so I feel really comfortable just being in funny projects.","['Funny', 'Connect', 'Projects']"
440,arts,"Art resides in the quality of doing, process is not magic.","['Quality', 'Process', 'Magic']"
441,love,"Love looks not with the eyes, but with the mind, And therefore is winged Cupid painted blind.","['Blind', 'Eyes', 'Looks']"
442,success,"As I've progressed in my career, I've come to appreciate - and really value - the other attributes that define a company's success beyond the P&L: great leadership, long-term financial strength, ethical business practices, evolving business strategies, sound governance, powerful brands, values-based decision-making.","['Leadership', 'Strength']"
443,life,"Life, liberty, and property do not exist because men have made laws. On the contrary, it was the fact that life, liberty, and property existed beforehand that caused men to make laws in the first place.","['Men', 'Liberty', 'Laws']"
444,hope,"I spread the message of hope and of unity. That's what gets me up in the morning. I can tell you what is wrong, but I can't tell you how to fix it. I'm a raptivist, not a politician. I deal in hope.","['Morning', 'Unity', 'Wrong']"
445,humor,"And you know, whether it's drama or comedy, the best work is based on truth. It's just that, with comedy, the circumstances are just crazy-heightened, and you have these crazy things thrown at you. But you still have to do it truthfully, because that's where the humor comes from. So it's not that difficult to cross over.","['Work', 'Best', 'Truth']"
446,arts,True art is characterized by an irresistible urge in the creative artist.,"['Creative', 'Artist', 'True']"
447,"life,love","Grief can be the garden of compassion. If you keep your heart open through everything, your pain can become your greatest ally in your life's search for love and wisdom.","['Life', 'Wisdom', 'Compassion']"
448,success,Success is not only one thing. It's not only having a nice house in Beverly Hills and driving a nice Mercedes.,"['Nice', 'Driving', 'House']"
449,"friendship,life","Never be afraid to meet to the hilt the demand of either work, or friendship - two of life's major assets.","['Friendship', 'Work', 'Afraid']"
450,hope,You don't seem to realize that a poor person who is unhappy is in a better position than a rich person who is unhappy. Because the poor person has hope. He thinks money would help.,"['Money', 'Help', 'Rich']"
451,humor,"People in real life don't get ballplayers' humor, the way we talk in the clubhouse.","['Life', 'Talk', 'Clubhouse']"
452,arts,"If you cannot learn to love real art, at least learn to hate sham art and reject it.","['Love', 'Hate', 'Learn']"
453,"inspiration,love",Everyone has inside of him a piece of good news. The good news is that you don't know how great you can be! How much you can love! What you can accomplish! And what your potential is!,"['Inspirational', 'Good', 'Great']"
454,success,"I don't know the key to success, but the key to failure is trying to please everybody.","['Failure', 'Please', 'Everybody']"
455,life,I always say you can never be extravagant with beauty. Beauty is God made real. Beauty is life.,"['Beauty', 'God']"
456,hope,"There is something uniquely depressing about the fact that the National Portrait Gallery's version of the Barack Obama 'Hope' poster previously belonged to a pair of lobbyists. Depressing because Mr. Obama's Washington was not supposed to be the lobbyists' Washington, the place we learned to despise during the last administration.","['Depressing', 'Portrait', 'Last']"
457,humor,"I certainly didn't say while writing 'Gossip Girl,' 'Oh this is going to be big!' It was really like, 'Oh god, everyone's gong to hate these people! They're so bratty!' But I actually think what is so appealing about them is the humor in them.","['God', 'Girl', 'Hate']"
458,arts,"All art is dependent on technology because it's a human endeavour, so even when you're using charcoal on a wall or designed the proscenium arch, that's technology.","['Technology', 'Wall', 'Endeavour']"
459,love,"Love always involves responsibility, and love always involves sacrifice. And we do not really love Christ unless we are prepared to face His task and to take up His Cross.","['Easter', 'Sacrifice', 'Face']"
460,success,I believe that being successful means having a balance of success stories across the many areas of your life. You can't truly be considered successful in your business life if your home life is in shambles.,"['Home', 'Life', 'Business']"
461,life,I want to find that defining moment that you're satisfied and you've done what you want to do in your life.,"['Moment', 'Satisfied', 'Defining']"
462,hope,"I don't believe in having one partner for your whole life, but I hope I get married. I want to have a husband and two kids and a nice little life baking pies. I'm quite romantic. It's definitely important to have someone make you feel special.","['Life', 'Romantic', 'Husband']"
463,humor,"In everything I write, I'm always striving to hit the right mix of light and darkness, humor and pain, fun and seriousness.","['Light', 'Fun', 'Pain']"
464,arts,I am enough of an artist to draw freely upon my imagination.,"['Artist', 'Draw', 'Freely']"
465,love,"Flatter me, and I may not believe you. Criticize me, and I may not like you. Ignore me, and I may not forgive you. Encourage me, and I will not forget you. Love me and I may be forced to love you.","['Relationship', 'Forget']"
466,success,"Basically, when you get to my age, you'll really measure your success in life by how many of the people you want to have love you actually do love you.","['Life', 'Love', 'Age']"
467,life,"Although you may spend your life killing, You will not exhaust all your foes. But if you quell your own anger, your real enemy will be slain.","['Anger', 'Enemy', 'Spend']"
468,hope,"I don't believe that I'm better than anybody, but I do believe that I'll try harder than most and I hope that people just join me for a little bit of a ride.","['Ride', 'Anybody', 'Join']"
469,humor,"I choose my actors well and get to know the quirks of their personalities - and, most of all, I share humor with them. Then I keep my eyes open when they rehearse and perform, because you never know where the next stimulation comes from.","['Eyes', 'Choose', 'Open']"
470,arts,A room hung with pictures is a room hung with thoughts.,"['Thoughts', 'Room', 'Pictures']"
471,"hope,life,love","Three grand essentials to happiness in this life are something to do, something to love, and something to hope for.","['Hope', 'Life', 'Happiness']"
472,"life,love","Just when you think it can't get any worse, it can. And just when you think it can't get any better, it can.","['life', 'love ']"
473,success,"The talent of success is nothing more than doing what you can do well, and doing well whatever you do without thought of fame. If it comes at all it will come because it is deserved, not because it is sought after.","['Talent', 'Fame', 'Whatever']"
474,life,"In my wildest dreams, I could not have imagined a sweeter life.","['Dreams', 'Imagined', 'Sweeter']"
475,"hope,success","I think I've always been somebody, since the deaths of my father and brother, who was afraid to hope. So, I was more prepared for failure and for rejection than for success.","['Success', 'Failure', 'Father']"
476,humor,"There are the horror fans that love the 'Evil Dead' because of the humor, but I'm sure it's not all of them. Not all horror fans love 'Evil Dead' because of the humor, at least not me.","['Love', 'Evil', 'Dead']"
477,arts,"A sculptor is a person who is interested in the shape of things, a poet in words, a musician by sounds.","['Words', 'Interested', 'Sculptor']"
478,love,There is no sincerer love than the love of food.,['Food']
479,"writing,books","You have to write the book that wants to be written. And if the book will be too difficult for grown-ups, then you write it for children.","['books', 'children', 'difficult', 'grown-ups', 'write', 'writers', 'writing ']"
480,"writing,books","If there's a book that you want to read, but it hasn't been written yet, then you must write it.","['books', 'writing ']"
481,success,"My success was due to good luck, hard work, and support and advice from friends and mentors. But most importantly, it depended on me to keep trying after I had failed.","['Work', 'Good', 'Luck']"
482,life,Most of us have learned the hard way that there are very few things you can absolutely count on in life.,"['Count', 'Learned', 'Absolutely']"
483,humor,"The script was just the best I'd read in a long time and I love the humor, which I wasn't expecting, and I like the fact that my six year old daughter can see the show without being, you know, protected from it.","['Love', 'Best', 'Time']"
484,arts,"When I make art, I think about its ability to connect with others, to bring them into the process.","['Process', 'Ability', 'Bring']"
485,love,It is easy to hate and it is difficult to love. This is how the whole scheme of things works. All good things are difficult to achieve; and bad things are very easy to get.,"['Good', 'Achieve', 'Hate']"
486,success,"I believe that one key to success is to accept truth, no matter how it's spoken.","['Truth', 'Accept', 'Key']"
487,life,"Norway or Switzerland are two marvelous countries, I very much admire, the most advanced countries in the world in fact with great qualities of life.","['Great', 'Admire', 'Fact']"
488,hope,We go through the whole season working on next season's car and developing the car and making sure we fit in the car and all that sort of stuff. And we obviously give ideas of what we would hope next year's car would have even if it's small things like buttons on the steering wheel and different positions and whatever.,"['Car', 'Ideas', 'Small']"
489,humor,Humor writing is something that comes naturally to me.,['Naturally']
490,arts,I don't want life to imitate art. I want life to be art.,"['Life', 'Imitate']"
491,"life,love","There is a fountain of youth: it is your mind, your talents, the creativity you bring to your life and the lives of people you love. When you learn to tap this source, you will truly have defeated age.","['Age', 'Life', 'Creativity']"
492,success,"Achievement is not always success, while reputed failure often is. It is honest endeavor, persistent effort to do the best possible under any and all circumstances.","['Failure', 'Best', 'Effort']"
493,life,"For the Puritans, the God-centered life meant making the quest for spiritual and moral holiness the great business of life.","['Business', 'Great', 'Spiritual']"
494,hope,"I'm a vegetarian and very much active in regards to how I feel about animal rights and protecting animals and giving animals a voice. But at the same time, I appreciate and respect other people's decisions to eat meat. The only thing that I hope is that people are educated, that they're aware, that they're living a conscious lifestyle.","['Time', 'Respect', 'Giving']"
495,humor,"Humor writing requires a rhythm and timing, as well as some kind of connection to the reader, and I think that's how I tap into it.","['Timing', 'Connection', 'Rhythm']"
496,arts,Artists don't make objects. Artists make mythologies.,"['Artists', 'Objects']"
497,"friendship,love","It is not a lack of love, but a lack of friendship that makes unhappy marriages.","['Marriage', 'Friendship']"
498,success,"Adjusting to the passage of time, I think, is a key to success and to life: just being able to roll with the punches.","['Life', 'Time', 'Key']"
499,life,If you go out to Hollywood you'll find a lot of fantastic plastic people there in the business and a lot of people in life generally. They find it so hard to be themselves that they have to be plastic.,"['Business', 'Hollywood']"
500,hope,I try and tell all the kids that I meet that hope to be amazing one day and be a professional athlete or a doctor or a lawyer or whatever they want to be. I tell them they can do all that because Tourette's won't stop them.,"['Amazing', 'Doctor', 'Athlete']"
501,humor,"I think Damien Hirst is hilarious. And I think he's a true artist. He's not hilarious first; I think he is a real artist, and I also think he's got an amazing sense of humor.","['Amazing', 'Artist', 'True']"
502,arts,All good art is an indiscretion.,['Good']
503,love,"Behold, my friends, the spring is come; the earth has gladly received the embraces of the sun, and we shall soon see the results of their love!","['Gardening', 'Spring', 'Sun']"
504,success,My songs are the door to every dream I've ever had and every success I've ever achieved.,"['Door', 'Dream', 'Songs']"
505,life,Offence is important; that's how you know you care about things. Imagine a life where you're not offended. So dull.,"['Care', 'Imagine', 'Offended']"
506,hope,"When one is giving service for the advancement of humanity, when one is working without money and without price, with no hope of earthly reward, there comes a real, genuine joy into the human heart.","['Money', 'Service', 'Heart']"
507,humor,"We have a certain warped sense of humor in Scandinavia, and that is what comes across in the choices in a lot of our movies.","['Movies', 'Choices', 'Certain']"
508,arts,Art is the unceasing effort to compete with the beauty of flowers - and never succeeding.,"['Beauty', 'Flowers', 'Effort']"
509,"inspiration,life,love","Throw your dreams into space like a kite, and you do not know what it will bring back, a new life, a new friend, a new love, a new country.","['Inspirational', 'Life', 'Dreams']"
510,success,The most successful men in the end are those whose success is the result of steady accretion.,"['Men', 'Successful', 'Result']"
511,life,"God intended Earth. God intended the waters. God intended you and me. We were created in the image and the likeness of God; we are holograms, if you will. So the power, the presence, the energy is within you and me. The energy of God, as life, is within each of us.","['God', 'Power', 'Energy']"
512,hope,There is a lot of luck in football. Following England is like following Wycombe Wanders or Leyton Orient. You hope for the best and hope you are lucky.,"['Best', 'Luck', 'Football']"
513,humor,"The guys in my band are great-we watch movies, we eat pizza, take walks, read books. Everybody has a really great sense of humor. And my boyfriend comes and visits me on the road.","['Great', 'Movies', 'Road']"
514,arts,We have art in order not to die of the truth.,"['Truth', 'Order', 'Die']"
515,"life,love","Do what you love to do and give it your very best. Whether it's business or baseball, or the theater, or any field. If you don't love what you're doing and you can't give it your best, get out of it. Life is too short. You'll be an old man before you know it.","['Best', 'Life', 'Business']"
516,inspiration,"And, when you want something, all the universe conspires in helping you to achieve it.",['inspirational ']
517,success,I've been so fortunate in my life that my family has never been jealous of my success. They have shown true love and commitment to me by being supportive. They shared in it.,"['Life', 'Love', 'Family']"
518,life,The half hour between waking and rising has all my life proved propitious to any task which was exercising my invention... It was always when I first opened my eyes that the desired ideas thronged upon me.,"['Eyes', 'Ideas', 'Invention']"
519,hope,"We are laying the foundations of a government, which we hope may outlast the Pyramids.","['Government', 'Pyramids', 'Laying']"
520,humor,Cameron Crowe can write dialogue and shoot it with warmth and humor like nobody else.,"['Dialogue', 'Nobody', 'Warmth']"
521,arts,"When I work, and in my art, I hold hands with God.","['Work', 'God', 'Hands']"
522,love,"I'm kind of a good girl - and I'm not. I'm a good girl because I really believe in love, integrity, and respect. I'm a bad girl because I like to tease. I know that I have sex appeal in my deck of cards. But I like to get people thinking. That's what the stories in my music do.","['Music', 'Respect', 'Good']"
523,success,"No matter how much success you're having, you can't continue working together if you can't communicate.","['Together', 'Matter', 'Continue']"
524,life,"I was born with this. It's a hereditary genetic condition. This is something you can go your whole life without really knowing that something's wrong. I had high blood pressure, and that was the first sign.","['Pressure', 'Wrong', 'Blood']"
525,hope,I would like to live a day in the life of an ant and hope not to get squashed.,"['Life', 'Ant', 'Squashed']"
526,humor,"But it also became the experience, or was the experience, of the writers who were attracted to this kind of humor. They're all men or women who come from the same kind of experience in their own lives.","['Women', 'Experience', 'Men']"
527,arts,"The basis of art is truth, both in matter and in mode.","['Truth', 'Matter', 'Basis']"
528,love,"All the commandments: You shall not commit adultery, you shall not kill, you shall not steal, you shall not covet, and so on, are summed up in this single command: You must love your neighbor as yourself.","['Neighbor', 'Single', 'Command']"
529,success,"That should be the measure of success for everyone. It's not money, it's not fame, it's not celebrity; my index of success is happiness.","['Happiness', 'Money', 'Celebrity']"
530,life,Nothing can add more power to your life than concentrating all your energies on a limited set of targets.,"['Power', 'Add', 'Energies']"
531,hope,"I hope people will say, 'Mr. Valentino, he did something for fashion, no?'","['Fashion', 'Mr', 'Valentino']"
532,humor,"Guys usually like my sense of humor, and I am pretty down to earth. And I'm a driven person.","['Earth', 'Driven', 'Guys']"
533,arts,I don't think there's any artist of any value who doesn't doubt what they're doing.,"['Doubt', 'Value', 'Artist']"
534,love,"When you lose a person you love so much, surviving the loss is difficult.","['Sympathy', 'Loss', 'Surviving']"
535,books,"One must always be careful of books,""said Tessa, ""and what is inside them, for words have the power to change us.",['books ']
536,success,Divorce is never a pleasant experience. You look upon it as a failure. But I learned to be a different person once we broke up. Sometimes you learn more from failure than you do from success.,"['Experience', 'Failure', 'Learn']"
537,life,Self-esteem comes from who you have in your life. How you were raised. What you struggled with as a child.,"['Child', 'Raised', 'Struggled']"
538,hope,"During my life I have seen, known, and lost too much to be the prey of vain dread; and, as for the hope of immortality, I am as weary of that as I am of gods and kings. For my own sake only I write this; and herein I differ from all other writers, past and to come.","['Life', 'Past', 'Lost']"
539,humor,"Some major writers have a huge impact, like Ayn Rand, who to my mind is a lousy fiction writer because her writing has no compassion and virtually no humor. She has a philosophical and economical message that she is passing off as fiction, but it really isn't fiction at all.","['Compassion', 'Impact', 'Fiction']"
540,arts,The mediator of the inexpressible is the work of art.,"['Work', 'Mediator']"
541,"life,love","The things that will destroy America are prosperity-at-any-price, peace-at-any-price, safety-first instead of duty-first, the love of soft living, and the get-rich-quick theory of life.","['Failure', 'Life', 'Living']"
542,success,There's a misconception that survival of the fittest means survival of the most aggressive. The adjective 'Darwinian' used to refer to ruthless competition; you used to read that in business journals. But that's not what Darwinian means to a biologist; it's whatever leads to reproductive success.,"['Business', 'Survival', 'Whatever']"
543,life,The 'Course in Miracles' says one day you will realize that death is not the punishment but the reward. And it says that birth is not the beginning of life but a continuation. And physical death is not the end of life but a continuation.,"['Death', 'Beginning', 'Punishment']"
544,hope,"My great hope would be that Quebec would realize itself fully as a distinct part of Canada, and stay Canadian, bringing to Canada a part of its richness.","['Great', 'Realize', 'Canada']"
545,humor,"I'm an off-the-charts introvert. To me, being around groups of strangers is exhausting. I've had to sort of train myself to think about two tactics: finding common ground and invoking humor.","['Train', 'Strangers', 'Tactics']"
546,arts,"The principles of true art is not to portray, but to evoke.","['True', 'Principles', 'Evoke']"
547,love,"I spent a lot of years trying to outrun or outsmart vulnerability by making things certain and definite, black and white, good and bad. My inability to lean into the discomfort of vulnerability limited the fullness of those important experiences that are wrought with uncertainty: Love, belonging, trust, joy, and creativity to name a few.","['Trust', 'Good', 'Creativity']"
548,success,"The successful man doesn't use others, other people use the successful man, for above all the success is of service.","['Service', 'Successful', 'Others']"
549,life,It's not true that life is one damn thing after another; it's one damn thing over and over.,"['True', 'Damn']"
550,hope,"Death, only, renders hope futile.","['Death', 'Futile', 'Renders']"
551,humor,I have a very dark sense of humor.,['Dark']
552,arts,Painting and writing are solitary arts.,"['Painting', 'Arts', 'Solitary']"
553,love,Surround yourself with people who provide you with support and love and remember to give back as much as you can in return.,"['Support', 'Remember', 'Return']"
554,success,"I think there are those individuals who are intimidated by really smart, talented people. But for me, surrounding yourself with great talent is the key to success.","['Great', 'Smart', 'Talent']"
555,life,I feel 80% of my life is completely normal.,['Normal']
556,hope,"We hope we are moving toward a world where sexual orientation is not an issue, because we hate the idea of a gay ghetto. I think that it's a real shame that people become restricted by their sexuality or define their whole lives by their sexuality.","['Hate', 'Moving', 'Gay']"
557,humor,"My humor tends to be a little more edgy than is appropriate for 'Twilight,' although I got some in there. That was fun! There's just a tonal difference. For me, storytelling is storytelling. But, I do like writing for grown ups.","['Fun', 'Difference', 'Twilight']"
558,arts,Art in Nature is rhythmic and has a horror of constraint.,"['Nature', 'Horror', 'Constraint']"
559,love,"Love one another, but make not a bond of love: Let it rather be a moving sea between the shores of your souls.","['Sea', 'Moving', 'Bond']"
560,success,"Written in 1895, Alfred Nobel's will endowed prizes for scientific research in chemistry, physics, and medicine. At that time, these fields were narrowly defined, and researchers were often classically trained in only one discipline. In the late 19th century, knowledge of science was not a requisite for success in other walks of life.","['Life', 'Time', 'Knowledge']"
561,life,"With the price of life these days, you've got to get everything for free you can.","['Free', 'Days', 'Price']"
562,hope,"I hope I may have succeeded in presenting to you, however imperfectly, the currents of thought due to the work of the immortal Darwin which have helped to make anthropology what it is at the present time.","['Work', 'Time', 'Present']"
563,humor,"My parents have always had a great sense of humor. And I really appreciate good humor in songs, witty lyrics that sneak up on you and then you listen again, and say: 'That's so funny.' John Prine's songs have always had this really witty tone.","['Funny', 'Good', 'Great']"
564,arts,Pictures must not be too picturesque.,['Pictures']
565,love,The best smell in the world is that man that you love.,"[""Valentine's Day"", 'Best', 'Smell']"
566,success,"When I was 4 years old, my brother and sister died of hunger, so I achieved my success through confidence, self-motivation and my hard work.","['Work', 'Confidence', 'Sister']"
567,life,I don't ever give my opinion. Opinions I have about anything are in my personal life.,"['Opinion', 'Opinions', 'Personal']"
568,hope,We hope that eventually there would be an occasion which I can personally prove that game music can in fact impress many different people and move them.,"['Music', 'Game', 'Impress']"
569,humor,"The 'Twilight' movies are great in their own right, but they certainly don't have any sense of humor to them.","['Great', 'Movies', 'Twilight']"
570,arts,"Without freedom, no art; art lives only on the restraints it imposes on itself, and dies of all others.","['Freedom', 'Others', 'Lives']"
571,love,Communism is not love. Communism is a hammer which we use to crush the enemy.,"['Communism', 'Enemy', 'Crush']"
572,love,Tis better to have loved and lostThan never to have loved at all.,"['love', 'paraphrase-of-congreve ']"
573,success,"My father left Nazi Germany a year after Dr. Kissinger, and so in my household he was very much an icon. He was a kind of immigrant success story, a refugee success story.","['Father', 'Refugee', 'Immigrant']"
574,life,"The joy which answers to prayer give, cannot be described; and the impetus which they afford to the spiritual life is exceedingly great.","['Great', 'Prayer', 'Spiritual']"
575,hope,"I'm proud of my background, so I hope there will be more roles where Hispanics are being portrayed.","['Proud', 'Background', 'Roles']"
576,humor,"Humor was not important only for me, humor was important for this nation for centuries, to survive, you know.","['Nation', 'Survive', 'Centuries']"
577,arts,Personality is everything in art and poetry.,['Poetry']
578,love,"The ultimate lesson all of us have to learn is unconditional love, which includes not only others but ourselves as well.","['Learning', 'Learn']"
579,books,"I declare after all there is no enjoyment like reading! How much sooner one tires of any thing than of a book! -- When I have a house of my own, I shall be miserable if I have not an excellent library.","['books', 'library', 'reading ']"
580,success,"The Nationals tried hard to recover the lost ground. The final result, however, was the success of the Forest Citys by a score of 29 to 23 in a nine innings game, twice interrupted by rain.","['Rain', 'Game', 'Lost']"
581,life,"Of any stopping place in life, it is good to ask whether it will be a good place from which to go on as well as a good place to remain.","['Good', 'Ask', 'Remain']"
582,hope,I collaborated with fellow cat lover and designer Geren Ford to create a sweater that we hope any cat parent would wear to show their kitty pride and that all animal lovers can wear in support of the ASPCA.,"['Support', 'Pride', 'Animal']"
583,humor,"I liked the humor of it, I've always enjoyed a sense of humor in God and in religion and in spirituality.","['God', 'Religion', 'Enjoyed']"
584,arts,It is after all the greatest art to limit and isolate oneself.,"['Greatest', 'Limit', 'Oneself']"
585,"life,love","Music is love, love is music, music is life, and I love my life. Thank you and good night.","['Life', 'Music', 'Good']"
586,success,"Obstacles are necessary for success because in selling, as in all careers of importance, victory comes only after many struggles and countless defeats.","['Obstacles', 'Victory', 'Selling']"
587,life,My whole life was foretold to me. An old Romany gypsy read my fortune.,"['Gypsy', 'Fortune', 'Foretold']"
588,hope,To not have any hope is where things start to get really bleak. Things are possible. The impossible can be possible.,"['Start', 'Impossible', 'Possible']"
589,humor,"I'd like to explore the more abstract side of people's minds, as opposed to the usual sitcom stuff. I don't want to do the typical sitcom-type humor. I'd want to do stuff like go bowling with pineapples.","['Bowling', 'Minds', 'Explore']"
590,arts,The terrifying and edible beauty of Art Nouveau architecture.,"['Beauty', 'Edible', 'Nouveau']"
591,love,"Femininity is not just lipstick, stylish hairdos, and trendy clothes. It is the divine adornment of humanity. It finds expression in your qualities of your capacity to love, your spirituality, delicacy, radiance, sensitivity, creativity, charm, graciousness, gentleness, dignity, and quiet strength.","['Strength', 'Creativity']"
592,success,Sound character provides the power with which a person may ride the emergencies of life instead of being overwhelmed by them. Failure is... the highway to success.,"['Life', 'Failure', 'Power']"
593,life,"Inner-life questions are the kind everyone asks, with or without benefit of God-talk: 'Does my life have meaning and purpose?' 'Do I have gifts that the world wants and needs?' 'Whom and what shall I serve?' 'Whom and what can I trust?' 'How can I rise above my fears?'","['Trust', 'Purpose', 'Questions']"
594,hope,I hope to God that the inner strength that will vindicate my deeds will in good time spring forth from my own people. I have done as I had to on the prompting of my inner voice.,"['Strength', 'Time', 'God']"
595,humor,I tend to like dry humor.,"['Dry', 'Tend']"
596,arts,Art is science made clear.,"['Science', 'Clear']"
597,love,"We have observed that, in society and the world in which we live, selfishness has increased more than love for others, and that men of good will must work, each with his own strengths and expertise, to ensure that love for others increases until it is equal and possibly exceeds love for oneself.","['Work', 'Good', 'Society']"
598,death,"I wish it need not have happened in my time,""said Frodo.""So do I,""said Gandalf, ""and so do all who live to see such times. But that is not for them to decide. All we have to decide is what to do with the time that is given us.","['adventuring', 'death', 'time ']"
599,success,"Success has a simple formula: do your best, and people may like it.","['Best', 'Simple', 'Formula']"
600,hope,"Hope is such a bait, it covers any hook.","['Hook', 'Covers', 'Bait']"
601,life,"If life had a second edition, how I would correct the proofs.","['Second', 'Correct']"
602,humor,The president of General Motors was in a foul humor.,"['President', 'General', 'Foul']"
603,love,If you have only one smile in you give it to the people you love.,"[""Valentine's Day""]"
604,arts,Gossip is the art of saying nothing in a way that leaves practically nothing unsaid.,"['Gossip', 'Saying', 'Unsaid']"
605,success,Success - keeping your mind awake and your desire asleep.,"['Desire', 'Awake', 'Keeping']"
606,hope,All human wisdom is summed up in two words; wait and hope.,"['Wisdom', 'Words', 'Wait']"
607,life,We live in a rainbow of chaos.,"['Chaos', 'Rainbow']"
608,humor,"People may think of Southern humor in terms of missing teeth and outhouse accidents, but the best of it is a rich vein running through the best of Southern literature.","['Best', 'Literature', 'Missing']"
609,love,"The thing I loved the most - and still love the most about teaching - is that you can connect with an individual or a group, and see that individual or group exceed their limits.","['Teacher', 'Limits', 'Group']"
610,arts,Photography is more than a medium for factual communication of ideas. It is a creative art.,"['Communication', 'Ideas']"
611,success,Success is sweet and sweeter if long delayed and gotten through many struggles and defeats.,"['Sweet', 'Struggles', 'Gotten']"
612,hope,"Hope is not the conviction that something will turn out well but the certainty that something makes sense, regardless of how it turns out.","['Certainty', 'Conviction', 'Turn']"
613,life,He who has a why to live can bear almost any how.,"['Bear', 'Almost']"
614,humor,"Sure, the comedians who swear or use scatological humor can get laughs, but they're uncomfortable laughs.","['Sure', 'Comedians', 'Swear']"
615,love,"Never trust anyone completely but God. Love people, but put your full trust only in God.","['God', 'Trust', 'Anyone']"
616,arts,Sculpture is the art of the intelligence.,['Sculpture']
617,"life,death",The fear of death follows from the fear of life. A man who lives fully is prepared to die at any time.,"['death', 'life ']"
618,success,Success breeds success.,['Breeds']
619,hope,Expecting something for nothing is the most popular form of hope.,"['Popular', 'Expecting', 'Form']"
620,life,"What do we live for, if not to make life less difficult for each other?","['Difficult', 'Less']"
621,humor,"The more women sit down and write something in a woman's voice for a woman, they more you'll see women in comedy because gender doesn't define sense of humor. Imagination and intelligence and perspective do.","['Women', 'Woman', 'Gender']"
622,love,"Love is understood, in a historical way, as one of the great human vocations - but its counterspell has always been infidelity. This terrible, terrible betrayal that can tear apart not only another person, not only oneself, but whole families.","['Great', 'Infidelity', 'Betrayal']"
623,arts,"One does not need buildings, money, power, or status to practice the Art of Peace. Heaven is right where you are standing, and that is the place to train.","['Peace', 'Money', 'Power']"
624,truth,A lie can travel half way around the world while the truth is putting on its shoes.,"['misattributed-mark-twain', 'truth ']"
625,success,"Success is not measured by what you accomplish, but by the opposition you have encountered, and the courage with which you have maintained the struggle against overwhelming odds.","['Courage', 'Struggle']"
626,hope,"It is only hope which is real, and reality is a bitterness and a deceit.","['Reality', 'Bitterness', 'Deceit']"
627,life,"Life is a series of collisions with the future; it is not the sum of what we have been, but what we yearn to be.","['Future', 'Sum', 'Series']"
628,humor,"Michael Pollan is a champion. In all ways. A man of great integrity, humor, and common sense and kindness.","['Great', 'Kindness', 'Integrity']"
629,love,"I really love to ride my motorcycle. When I want to just get away and be by myself and clear my head, that's what I do.","['Motorcycle', 'Ride', 'Head']"
630,arts,Winners have the ability to step back from the canvas of their lives like an artist gaining perspective. They make their lives a work of art - an individual masterpiece.,"['Work', 'Step', 'Artist']"
631,success,Man needs his difficulties because they are necessary to enjoy success.,"['Enjoy', 'Needs', 'Necessary']"
632,hope,Chance has never yet satisfied the hope of a suffering people.,"['Chance', 'Suffering', 'Satisfied']"
633,life,There is no wealth but life.,['Wealth']
634,humor,I'll let you in on a secret: I can't stand Jay Ward. I hate being compared to Rocky and Bullwinkle. It's just a different style of humor.,"['Style', 'Hate', 'Stand']"
635,love,Everyone gets dumped and everyone gets hurt and there's karma to love in regards to what you've done to other people.,"['Karma', 'Hurt', 'Dumped']"
636,arts,To array a man's will against his sickness is the supreme art of medicine.,"['Medicine', 'Sickness', 'Against']"
637,success,Most people give up just when they're about to achieve success. They quit on the one yard line. They give up at the last minute of the game one foot from a winning touchdown.,"['Quit', 'Winning', 'Game']"
638,hope,Little progress can be made by merely attempting to repress what is evil. Our great hope lies in developing what is good.,"['Good', 'Great', 'Progress']"
639,life,The less routine the more life.,"['Routine', 'Less']"
640,humor,I always had to genuinely like the actors I worked with and use my enthusiasm and vision to give them confidence to push their creativity and their humor.,"['Confidence', 'Creativity']"
641,love,I would love for the world to be happier.,['Happier']
642,arts,"And the first rude sketch that the world had seen was joy to his mighty heart, till the Devil whispered behind the leaves 'It's pretty, but is it Art?'","['Heart', 'Joy', 'Devil']"
643,success,The thermometer of success is merely the jealousy of the malcontents.,"['Jealousy', 'Merely']"
644,hope,The trouble with most people is that they think with their hopes or fears or wishes rather than with their minds.,"['Wishes', 'Minds', 'Trouble']"
645,life,Our entire life - consists ultimately in accepting ourselves as we are.,"['Accepting', 'Ourselves', 'Entire']"
646,humor,"The whole ability to look at the complexity of race and any sort of associated -ism and still find humor, that's a very interesting space.","['Space', 'Ability', 'Race']"
647,"inspiration,love",Love the moment and the energy of that moment will spread beyond all boundaries.,['Inspirational']
648,arts,"O, thou art fairer than the evening air clad in the beauty of a thousand stars.","['Romantic', 'Beauty', 'Stars']"
649,success,Success is counted sweetest by those who never succeed.,"['Succeed', 'Counted', 'Sweetest']"
650,hope,Beware how you take away hope from another human being.,['Beware']
651,life,Only a life lived for others is a life worthwhile.,"['Others', 'Worthwhile', 'Lived']"
652,humor,"Thomas, my 15-year-old, is effectively my editor, I've always trusted his voice, more than anybody, on the strip for years. He has one of those ears that's just tuned to the rhythm of humor, so if he says something's not funny, my stomach just hurts because I know he's right, and it's already been drawn.","['Funny', 'Voice', 'Ears']"
653,love,Love is trembling happiness.,"['Happiness', 'Trembling']"
